,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,20.87,23.97,30.0,7.15,15.23,21.69,6.04,12.12,23.66
en,13.77,,21.4,28.65,5.91,13.59,21.14,5.34,9.79,21.44
gu,20.57,28.13,,52.53,7.9,24.16,39.33,7.74,15.23,42.85
hi,21.56,29.38,48.32,,8.83,26.47,51.45,8.05,16.19,55.68
ml,13.29,16.73,18.33,22.34,,11.51,18.06,5.57,9.87,19.54
mr,18.11,24.86,32.83,41.03,7.71,,29.91,6.6,13.36,32.48
pa,20.52,29.92,44.4,66.64,8.5,24.62,,8.19,15.43,51.71
ta,9.62,13.48,14.03,18.74,5.39,9.04,15.27,,7.56,16.29
te,14.2,20.01,21.35,27.27,6.45,13.48,20.5,5.64,,22.61
ur,18.12,26.25,37.62,54.01,7.37,19.94,39.69,6.95,13.17,
