,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,16.27,13.75,20.35,5.18,10.19,11.97,4.44,4.29,20.65
en,7.93,,11.8,16.21,5.14,9.46,8.75,4.56,4.45,18.44
gu,12.03,21.0,,42.55,6.55,16.21,14.62,5.59,5.54,39.29
hi,12.79,21.01,33.53,,7.16,17.15,15.21,5.78,6.3,45.5
ml,8.17,15.88,11.71,18.13,,9.74,10.27,4.87,4.88,18.63
mr,10.04,17.5,18.34,25.06,6.09,,11.83,4.98,4.82,25.57
or,12.88,17.53,17.29,25.28,4.77,12.42,,4.57,4.54,22.0
ta,6.78,14.59,10.06,15.78,5.16,8.39,9.1,,3.87,16.43
te,7.2,10.71,10.18,15.55,5.63,8.24,8.36,4.43,,12.0
ur,10.05,21.53,25.57,44.92,6.43,13.99,10.31,4.66,5.6,
