,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,21.9,25.1,29.9,6.92,16.3,23.6,6.77,11.7,24.7
en,14.6,,23.7,29.9,6.17,15.6,22.4,5.25,10.2,23.6
gu,20.5,29.1,,52.7,8.68,25.4,40.0,7.99,15.2,42.9
hi,22.6,30.7,50.0,,9.47,29.0,53.0,8.97,16.8,57.2
ml,13.4,17.8,19.3,23.4,,13.2,18.5,5.79,9.88,19.3
mr,18.9,26.5,35.2,42.3,7.63,,31.0,7.17,14.1,33.5
pa,21.0,30.3,46.9,66.4,8.6,26.4,,8.19,15.6,51.2
ta,10.4,14.2,15.4,19.0,5.72,10.2,16.2,,8.22,16.6
te,15.2,20.6,24.4,29.3,6.77,15.6,22.2,6.11,,23.9
ur,18.5,27.3,39.4,54.3,7.99,22.3,40.8,8.04,13.9,
