,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,14.9,12.9,19.2,5.02,9.42,10.5,4.06,3.44,17.8
en,7.68,,11.2,16.0,4.96,8.81,8.3,4.37,3.96,17.5
gu,11.3,19.7,,41.2,6.1,15.3,14.2,5.15,4.99,34.7
hi,12.2,20.2,31.2,,6.81,16.0,14.5,5.47,5.59,40.4
ml,7.46,14.8,10.9,17.2,,9.0,8.65,4.77,4.1,16.9
mr,9.5,16.4,17.1,24.0,5.69,,11.4,4.68,4.12,22.9
or,12.4,16.6,15.9,24.7,4.2,11.5,,4.29,3.68,18.6
ta,6.65,13.8,9.11,15.4,4.96,7.44,8.27,,3.27,14.4
te,6.84,10.1,9.62,15.1,5.39,7.94,7.29,4.32,,13.4
ur,9.79,20.3,23.7,43.5,5.9,13.6,10.3,3.95,3.9,
