,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,20.8,23.9,30.0,7.15,15.2,21.6,6.04,12.1,23.6
en,13.7,,21.4,28.6,5.91,13.5,21.1,5.34,9.79,21.4
gu,20.5,28.1,,52.5,7.9,24.1,39.3,7.74,15.2,42.8
hi,21.5,29.3,48.3,,8.83,26.4,51.4,8.05,16.1,55.6
ml,13.2,16.7,18.3,22.3,,11.5,18.0,5.57,9.87,19.5
mr,18.1,24.8,32.8,41.0,7.71,,29.9,6.6,13.3,32.4
pa,20.5,29.9,44.4,66.6,8.5,24.6,,8.19,15.4,51.7
ta,9.62,13.4,14.0,18.7,5.39,9.04,15.2,,7.56,16.2
te,14.2,20.0,21.3,27.2,6.45,13.4,20.5,5.64,,22.6
ur,18.1,26.2,37.6,54.0,7.37,19.9,39.6,6.95,13.1,
