,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,10.73,8.92,16.21,2.76,5.13,0.41,1.82,3.51,0.87
en,4.63,,7.23,13.85,2.51,4.8,0.76,2.44,2.94,8.08
gu,7.02,14.57,,37.36,3.61,9.73,0.5,2.26,4.55,0.55
hi,7.62,17.64,24.38,,4.02,10.49,0.7,2.81,4.82,0.0
ml,4.24,11.1,7.36,14.51,,4.72,0.31,2.43,4.25,0.0
mr,5.08,11.49,12.78,19.51,3.33,,0.53,2.11,3.59,0.0
or,3.19,3.06,4.89,8.41,1.15,3.11,,1.38,1.46,0.0
ta,3.23,9.55,5.61,11.11,2.95,3.68,0.49,,3.41,0.0
te,3.58,7.11,6.13,11.42,3.22,4.14,0.3,2.18,,0.39
ur,6.06,15.05,18.42,39.62,3.27,7.7,0.41,1.95,3.89,
