,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,21.8,24.6,30.5,6.99,16.2,23.4,6.26,11.9,24.4
en,14.3,,22.7,29.8,5.79,14.7,23.3,4.92,10.2,22.7
gu,21.1,29.0,,52.3,7.81,24.5,40.8,7.94,15.3,42.4
hi,21.8,30.0,48.5,,9.19,27.7,53.2,8.58,16.0,56.1
ml,13.2,16.7,19.0,23.1,,12.0,18.6,5.4,9.89,19.2
mr,18.5,25.8,34.1,42.0,7.46,,31.6,7.13,13.4,32.6
pa,21.0,29.8,45.4,66.9,8.47,25.1,,8.23,15.7,51.8
ta,10.2,13.6,15.4,19.1,5.73,10.0,16.7,,8.08,16.0
te,15.6,21.2,23.7,28.7,7.0,15.1,22.0,5.61,,22.8
ur,18.3,27.0,39.0,54.5,7.44,20.7,41.1,8.28,13.8,
