,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,22.4,24.9,32.4,7.68,16.8,23.1,6.7,12.6,26.2
en,14.4,,24.0,30.0,6.11,15.9,22.5,5.1,10.2,24.5
gu,21.5,29.5,,58.2,8.25,27.0,42.0,8.53,15.5,45.9
hi,23.4,30.2,49.8,,9.38,30.6,54.8,9.35,17.2,62.1
ml,13.7,17.2,18.4,25.2,,12.7,17.5,6.14,9.91,20.9
mr,19.3,26.4,34.8,45.3,7.8,,31.9,7.81,13.6,35.7
pa,21.8,30.0,45.9,73.5,9.21,27.7,,8.91,16.0,56.8
ta,10.5,13.9,15.0,20.5,5.52,9.83,16.2,,7.48,17.2
te,14.8,20.5,23.8,30.1,6.86,16.0,22.9,6.31,,24.2
ur,18.2,26.1,39.7,59.5,7.62,22.7,41.6,8.29,14.3,
