,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,15.2,12.8,19.3,4.84,9.4,10.5,4.04,3.87,15.8
en,7.56,,11.3,16.1,4.76,8.87,8.37,4.3,3.96,16.1
gu,11.7,20.4,,42.5,6.44,15.8,14.3,5.24,5.27,30.1
hi,12.0,20.7,32.4,,6.82,16.5,14.0,5.7,5.88,38.6
ml,7.71,15.3,11.0,17.7,,8.88,9.44,4.73,4.52,11.5
mr,9.43,16.7,17.6,24.3,6.09,,11.6,4.63,4.45,18.7
or,11.5,17.8,16.8,25.0,5.25,11.8,,4.52,4.2,16.0
ta,6.5,13.9,9.4,15.1,4.99,7.79,8.16,,3.87,11.4
te,6.44,10.2,9.42,14.8,4.81,7.67,7.64,4.21,,8.34
ur,9.93,20.0,24.5,44.0,4.96,13.4,9.8,4.14,4.88,
